runSeed,testYear,wDE,wCOBYLA
3324115916,2016,"[0.4291173569777989, 0.25488887090382567, 0.24292975243721288, 0.07306401968116248]","[0.3120155186771125, 0.09127405770038692, 0.41894758665359627, 0.17776283696890413]"
3324115916,2017,"[0.29983931520690005, 0.383785941546214, 0.29286369819469354, 0.023511045052192384]","[0.2360916123969067, 0.25513043573210015, 0.2739574057491213, 0.2348205461218718]"
3324115916,2018,"[0.32572759587915673, 0.379855533615434, 0.2656151170288688, 0.0288017534765405]","[0.09829894768859501, 0.34415940810347023, 0.42372380227223544, 0.13381784193569937]"
3324115916,2019,"[0.3054395499380941, 0.4100322355545748, 0.2612457766101355, 0.023282437897195647]","[0.22147428909931835, 0.3634957032173436, 0.36150567357400676, 0.05352433410933132]"
3324115916,2020,"[0.3288844372749551, 0.36919391597601026, 0.2651485342581691, 0.03677311249086551]","[0.12533852214936364, 0.47197251453328243, 0.26092229286590907, 0.14176667045144498]"
3324115916,2021,"[0.33541272706471065, 0.35881026071214284, 0.2714073339401043, 0.0343696782830422]","[0.2303636280345388, 0.24937039497702718, 0.2753713396064928, 0.24489463738194114]"
3324115916,2022,"[0.25634370343219276, 0.44862597822668865, 0.24564165315021042, 0.04938866519090822]","[0.1517517767342077, 0.5069719323442587, 0.2316556909710039, 0.10962059995052968]"
3324115916,2023,"[0.33851998046497084, 0.5417513720034854, 0.07937990645252876, 0.040348741079014934]","[0.2520947220247708, 0.24639220030229186, 0.23603623227652207, 0.2654768453964153]"
2811363264,2007,"[0.4374718806193851, 0.221486139453612, 0.3383039925424528, 0.002737987384550096]","[0.5536048170755546, 0.1693500203454829, 0.22856195136462162, 0.04848321121434087]"
2811363264,2008,"[0.6141516257733904, 0.29779946702239396, 0.08705155705212432, 0.000997350152091269]","[0.479627558674744, 0.2776216002842545, 0.12506804159111334, 0.11768279944988824]"
2811363264,2009,"[0.5175749827327412, 0.26063529117828255, 0.1997598722282811, 0.022029853860695156]","[0.337534238005335, 0.20113856888932638, 0.3387138228486511, 0.1226133702566875]"
2811363264,2010,"[0.5866394487954486, 0.09306179417552855, 0.3038836596753536, 0.01641509735366918]","[0.4847921198196635, 0.16085439257436135, 0.12647865778329312, 0.22787482982268178]"
